Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_06.wav,"[68.18502, 71.53373, 74.66375, 68.60246, 63.759346, 65.51874, 64.467255, 68.50086, 70.07428, 72.72907, 71.82708, 61.833324, 75.69824, 74.77811, 73.017715]","[5.002439099223201, 3.4573387315807245, 2.0602278297744867, 2.294251448585696, 3.4497582348107936, 3.647633794961231, 1.3582743989813717, 5.975757319746273, 11.366491943287352, 3.0449577640475973, 2.6632004503404634, 3.596059658489789, 3.1294044772429124, 3.9578510187788023, 4.141870633854221]","[55.42403628117914, 42.78004535147393, 48.02721088435374, 47.981859410430836, 52.11337868480725, 47.755102040816325, 51.900226757369616, 50.099773242630384, 38.78004535147392, 49.66439909297053, 47.21541950113378, 50.657596371882086, 51.859410430839006, 59.44671201814059, 39.90590710957462]","[(4108, 1803.1277131692298), (15490, 248.69742030933975), (21869, 149.13965897118703), (32558, 69.91696732312283), (41809, 29.039777712235235), (57235, 32.985688849948154), (63664, 10.440073455687894), (80984, 2.959372004692062), (90686, 10.440073455687902), (97115, 32.98568884994816), (112541, 29.039777712235228), (121792, 69.91696732312282), (132481, 149.13965897118703), (138860, 248.69742030933975), (150242, 1803.1277131692295)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_07.wav,"[71.117805, 75.0265, 72.35616, 73.6762, 71.36805, 74.25148, 64.56193, 74.42866, 75.65472, 74.70034, 76.46381, 73.01856, 73.87182, 77.65427, 77.882286]","[6.964602783257359, 3.3396900095491824, 5.887693137490368, 3.8428024460916363, 3.5582541477023844, 2.629228545508037, 3.193917187828837, 5.437346984676662, 1.7035566470959955, 4.5612473919477665, 3.2831399034226445, 6.884825070682425, 3.1394738157922846, 3.4360133521702316, 3.885480777050058]","[49.51927437641723, 52.38095238095239, 52.276643990929706, 48.12244897959184, 56.33560090702947, 48.33560090702947, 54.91156462585034, 48.97052154195012, 52.702947845804985, 48.390022675736965, 51.92743764172336, 50.38095238095238, 48.358276643990926, 56.8344671201814, 47.55148053509694]","[(4120, 1993.6853839131238), (10293, 715.5776820861005), (21807, 127.87073811574771), (33118, 67.2886063405665), (43651, 34.41459998864504), (57210, 25.52959144146491), (65193, 23.23680560233446), (74090, 3.330879276349449), (89157, 23.236805602334513), (97140, 25.52959144146489), (110699, 34.41459998864501), (121232, 67.2886063405665), (132543, 127.87073811574771), (144057, 715.5776820861003), (150230, 1993.6853839131238)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_08.wav,"[71.0674, 71.37686, 72.976036, 73.8854, 74.56491, 74.94404, 75.92968, 73.93114, 75.83775, 73.21738, 75.32883, 72.48636, 77.00795, 83.517845, 73.58376]","[6.728372579104765, 2.160826755598897, 3.9201363725061085, 5.628832208735513, 4.212649748660624, 3.8328332934595113, 2.827418258779549, 3.5657626255193637, 6.185943852705393, 4.188944413243554, 3.490866807294965, 2.3204902386558905, 6.981211520975367, 7.664980355738884, 3.503813300700304]","[48.766439909297056, 50.25396825396825, 46.82086167800453, 51.09750566893424, 48.45351473922902, 49.414965986394556, 48.11337868480725, 54.321995464852606, 51.05215419501134, 51.764172335600904, 46.426303854875286, 50.390022675736965, 45.238095238095234, 44.875283446712025, 47.15286336990832]","[(4114, 3058.0778463206784), (10296, 985.5713997268457), (26770, 178.84634541223645), (33127, 155.38219541199618), (43659, 32.35017880396041), (54359, 55.161957444397125), (71861, 22.426206337801528), (74090, 7.605478203122717), (82489, 22.426206337801514), (99991, 55.16195744439711), (110691, 32.3501788039604), (121223, 155.38219541199618), (127580, 178.84634541223645), (144054, 985.5713997268456), (150236, 3058.077846320678)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_09.wav,"[37.105263, 73.617195, 70.81316, 68.70023, 73.27434, 58.544212, 61.280807, 65.30757, 73.15595, 60.287357, 58.642883, 64.90656, 77.876945, 65.775826, 67.496735]","[49.30236643656742, 4.770843876481411, 3.998049902501017, 7.060060962214179, 7.171764620579779, 4.096237881596954, 5.855664070917382, 5.685360103269064, 5.879282991268805, 5.894934643237364, 4.191312233784369, 7.046992215882277, 7.952451452590703, 4.821716238525585, 5.636852391069711]","[23.473922902494323, 48.39455782312925, 50.285714285714285, 57.569160997732425, 49.2517006802721, 54.585034013605444, 53.44671201814059, 51.1609977324263, 48.36281179138322, 54.72562358276644, 46.312925170068034, 48.870748299319736, 52.399092970521544, 57.12018140589569, 49.455624711157]","[(6108, 1698.075570141293), (14658, 527.9267768440669), (25728, 332.7565558281474), (33191, 55.28418828262018), (47755, 29.07706026766053), (52095, 27.831761733029897), (63779, 11.459425280360916), (72085, 3.869529948604806), (90571, 11.45942528036089), (102255, 27.831761733029857), (106595, 29.077060267660485), (121159, 55.28418828262022), (128622, 332.7565558281474), (139692, 527.9267768440669), (148242, 1698.075570141293)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_10.wav,"[60.296772, 62.387955, 68.62751, 66.002884, 77.8516, 78.72109, 72.39895, 79.06078, 64.677444, 74.122345, 67.372505, 70.06848, 77.67282, 69.51571, 74.99421]","[28.689304750066164, 3.680866683966347, 2.531973809181225, 3.8461676915176213, 4.315245457248585, 6.70081501288916, 4.54786762711592, 2.7459760850650214, 3.296791806462265, 3.159062741490613, 4.012846292573071, 6.215933774087933, 5.958337039642391, 4.699860116843844, 3.004678407783753]","[54.91156462585034, 52.53514739229025, 54.14512471655329, 53.88662131519275, 51.40136054421769, 51.859410430839006, 53.40589569160998, 51.47845804988662, 57.641723356009074, 52.712018140589564, 55.85034013605442, 56.68480725623583, 52.72108843537415, 53.11111111111111, 54.48790019540057]","[(6179, 4462.9972929794185), (10301, 1000.5946839112202), (24797, 213.5938195156818), (33179, 157.64786825537507), (50190, 92.50179434992026), (52312, 69.85683293602685), (65417, 29.817918236764474), (72085, 36.527100738673255), (88933, 29.81791823676449), (102038, 69.85683293602686), (104160, 92.50179434992019), (121171, 157.64786825537513), (129553, 213.59381951568182), (144049, 1000.5946839112202), (148171, 4462.997292979419)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_11.wav,"[70.56538, 66.58869, 72.16411, 60.30192, 66.57478, 72.06297, 76.92329, 79.18562, 77.58007, 74.78761, 71.40701, 72.39985, 73.08948, 79.05062, 71.2314]","[18.325802070720847, 5.54011366385523, 10.220055150178572, 23.494827695789613, 3.5097096235923737, 11.95418510497326, 10.812316094719185, 8.165742554480122, 14.670513327776765, 5.7691152845065865, 11.62533433553541, 20.533544490379946, 22.861167109416176, 8.116299427291821, 3.601400376785369]","[48.2766439909297, 54.37641723356009, 56.38095238095238, 49.9092970521542, 47.51020408163266, 48.385487528344676, 49.32879818594105, 47.238095238095234, 51.981859410430836, 57.84126984126984, 61.05668934240363, 48.31292517006802, 42.55328798185941, 51.859410430839006, 49.82624379978957]","[(1813, 1139.4622503475507), (14453, 304.72882504726005), (24720, 121.80383867960856), (35651, 30.463525360810298), (50615, 12.488884576514533), (52882, 8.618895275879325), (70399, 8.291325334150333), (72212, 3.7969805235686733), (83951, 8.29132533415033), (101468, 8.618895275879307), (103735, 12.488884576514552), (118699, 30.463525360810305), (129630, 121.80383867960857), (139897, 304.72882504726005), (152537, 1139.4622503475507)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_12.wav,"[68.24968, 73.11533, 69.192825, 67.60183, 71.19489, 58.321472, 56.79033, 63.831696, 72.9604, 73.274895, 73.80534, 70.44032, 77.09038, 75.132065, 67.59841]","[13.450828229272089, 5.451134187058502, 2.7447983015528217, 9.35382548057186, 6.5040960551067695, 5.725356303654345, 8.401253645119834, 5.022725458478644, 4.839407444177639, 3.5605803398149356, 3.6872955891470025, 5.385080697929619, 5.147745098829979, 7.229993373454947, 3.827469596511773]","[64.49433106575964, 50.54421768707483, 53.043083900226755, 68.6485260770975, 50.25396825396825, 61.88662131519274, 50.76643990929705, 48.22675736961452, 49.709750566893426, 44.290249433106574, 59.6734693877551, 49.641723356009074, 49.51020408163266, 57.034013605442176, 49.439651285134524]","[(1723, 1128.6687504449458), (13760, 292.8816288187385), (25743, 58.12674080243176), (36958, 17.34984811458203), (50076, 11.89777622311128), (52162, 8.707777603029562), (62552, 5.820679239804261), (82302, 2.531805947010771), (91798, 5.820679239804262), (102188, 8.70777760302956), (104274, 11.897776223111293), (117392, 17.349848114582013), (128607, 58.12674080243177), (140590, 292.8816288187385), (152627, 1128.6687504449458)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_13.wav,"[67.4779, 66.72289, 59.39045, 55.84831, 57.9877, 57.384357, 59.441345, 58.718433, 61.871243, 57.424633, 56.018406, 58.840565, 67.5288, 58.8697, 71.62671]","[8.046233374625444, 3.150907487586318, 5.169043070331792, 7.8412084219356375, 6.834431703845483, 3.774626072706832, 5.436731297560895, 4.631260776659474, 3.245678541272701, 6.108258715331821, 4.20070422267253, 8.877416727877321, 6.059722486506438, 3.3487608706179475, 3.5908114264852236]","[60.172335600907026, 53.36961451247165, 49.074829931972786, 64.11337868480726, 53.47392290249433, 53.54648526077098, 44.74829931972789, 50.72108843537415, 53.23809523809524, 45.043083900226755, 38.371882086167794, 24.920634920634924, 57.560090702947846, 46.86621315192744, 46.84538421371681]","[(2056, 1848.003029425471), (13934, 107.99601182403795), (26834, 66.75060607331027), (33083, 28.733417692119932), (43620, 21.654584884685868), (52116, 16.32411995230972), (65124, 10.242892296111744), (72170, 4.154438795319274), (89226, 10.242892296111688), (102234, 16.32411995230971), (110730, 21.654584884685843), (121267, 28.733417692119897), (127516, 66.75060607331028), (140416, 107.99601182403794), (152294, 1848.003029425471)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_14.wav,"[54.633636, 54.837368, 54.02525, 61.288654, 75.79188, 76.50414, 67.03061, 81.25586, 80.95066, 81.0699, 69.83628, 71.734604, 57.41426, 69.33947, 67.97369]","[10.405838097104542, 5.844020129214706, 4.446083663164505, 3.2771278605131164, 11.719856919704139, 2.691070406304096, 8.228805914474098, 5.913618700911424, 6.874273709642391, 3.7512521256714884, 2.6698069023301025, 11.82741607495007, 3.2238539011727663, 6.35027214884758, 4.213163140229881]","[45.25170068027211, 56.19047619047619, 47.04761904761905, 51.64625850340136, 65.66893424036282, 55.96371882086168, 53.69160997732426, 51.26984126984127, 49.53741496598639, 50.57596371882086, 47.06122448979592, 54.53968253968254, 58.53514739229025, 57.99092970521542, 52.174958665263794]","[(6169, 2069.7792753860936), (12349, 177.85992374009723), (26850, 163.1038127367769), (31024, 64.2993044405496), (43639, 107.42925308007045), (58649, 20.720591548745897), (63005, 14.22202834944824), (82002, 2.6531304737375643), (91345, 14.222028349448246), (95701, 20.720591548745904), (110711, 107.42925308007042), (123326, 64.29930444054959), (127500, 163.10381273677686), (142001, 177.85992374009723), (148181, 2069.779275386093)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_15.wav,"[57.085697, 73.185875, 63.042652, 56.624676, 64.24924, 63.639336, 57.57544, 63.63489, 60.606907, 63.772636, 66.047104, 55.48569, 64.72993, 70.02287, 81.276375]","[12.927700363933434, 5.352244767848225, 8.217515616810747, 3.2013391743281057, 5.341196440470715, 7.674093457240988, 5.919456347501615, 4.681292331605662, 2.643476172012188, 4.7038943081653475, 4.15609914371522, 4.147769386881485, 5.087156196878779, 4.720248777552375, 2.6893874080131006]","[46.662131519274375, 57.260770975056694, 66.50340136054422, 46.897959183673464, 34.317460317460316, 62.517006802721085, 44.89342403628118, 49.832199546485256, 41.0702947845805, 52.507936507936506, 55.40136054421769, 49.50566893424037, 55.09750566893424, 58.00453514739229, 49.14775289343154]","[(1022, 1545.1721731233313), (15442, 151.70778523951134), (21708, 81.07016769543884), (33832, 39.87395862984953), (41499, 21.687208241265363), (53839, 15.827173480377217), (62954, 15.130598770343672), (72078, 3.3678626067572472), (91396, 15.130598770343664), (100511, 15.827173480377217), (112851, 21.687208241265353), (120518, 39.873958629849525), (132642, 81.07016769543884), (138908, 151.70778523951134), (153328, 1545.1721731233317)]"
