Path,Pitch,RMSE,PercentSilence,FrequencyMagnitude
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_11.wav,"[56.273727, 58.097782, 62.772213, 70.85368, 72.54129, 70.28199, 72.770195, 72.17027, 66.991066, 67.153404, 66.108986, 65.47563, 62.30039, 59.62207, 60.40689]","[16.089432616176648, 5.497520677800778, 6.192085026634144, 3.8948517065450905, 4.901761293876916, 5.167290473279233, 4.119338904828986, 4.496971722359636, 4.144770565021428, 5.104523122177592, 6.406496083253019, 3.8984116073974984, 4.891198797953881, 5.402665421189297, 4.784043296517449]","[38.816326530612244, 49.04761904761905, 48.48979591836735, 54.965986394557824, 50.29478458049886, 48.58049886621315, 52.893424036281175, 47.14285714285714, 49.91383219954648, 46.897959183673464, 40.657596371882086, 47.904761904761905, 49.45124716553288, 50.775510204081634, 65.83664828761658]","[(1020, 507.10029063450645), (12260, 95.77136919603807), (21630, 21.160266261800597), (36904, 2.286280718113469), (44949, 1.4689898591818442), (53140, 1.2694417266401394), (69595, 0.47053485712951443), (72120, 0.24764098266412665), (84755, 0.4705348571295108), (101210, 1.2694417266401488), (109401, 1.4689898591818427), (117446, 2.2862807181134674), (132720, 21.16026626180059), (142090, 95.77136919603805), (153330, 507.10029063450645)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_12.wav,"[55.861095, 67.44504, 72.00626, 77.463326, 86.15142, 88.73995, 82.811874, 85.65322, 83.846085, 86.260574, 83.326584, 85.43662, 84.91722, 85.96908, 83.370674]","[8.717232659123404, 5.917763202506605, 4.48019921424843, 4.0186368837783535, 5.031720425523374, 4.220139630931607, 4.351718243144985, 6.071352654059107, 4.916055287772213, 4.289022521282147, 5.26161930105272, 5.124263187047161, 4.486059436194843, 3.960894297952542, 7.491500917188075]","[53.87301587301587, 45.668934240362816, 49.823129251700685, 50.204081632653065, 46.91609977324263, 51.378684807256235, 49.09750566893424, 53.45578231292517, 48.766439909297056, 50.74829931972789, 48.594104308390015, 49.410430839002274, 47.7687074829932, 41.859410430839006, 48.94891915456541]","[(6182, 353.4061138250034), (12777, 173.69089952175395), (22085, 41.698090753708634), (30952, 7.545846985201081), (44080, 6.312478490566269), (55719, 4.623878515044506), (66223, 2.468942127277471), (80884, 0.7239530425023095), (88127, 2.468942127277479), (98631, 4.623878515044502), (110270, 6.312478490566271), (123398, 7.545846985201084), (132265, 41.69809075370864), (141573, 173.69089952175395), (148168, 353.40611382500344)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_13.wav,"[84.07812, 87.10984, 85.152534, 86.447784, 90.13893, 90.29388, 90.27478, 77.70187, 81.05768, 81.05522, 81.08797, 81.80707, 92.01239, 92.183, 91.22605]","[5.623108682325543, 5.120985670198154, 3.057862564344846, 4.468553207975457, 4.452842206505704, 3.131584989439164, 3.8204346173664643, 4.026309335936925, 4.497766163798848, 3.6613391664494492, 2.1899589674181437, 3.6192200390533324, 5.45780539798129, 3.6139752652074786, 3.9792406234136295]","[63.614512471655324, 60.276643990929706, 53.43310657596372, 57.74149659863946, 47.55102040816327, 50.811791383219955, 49.47845804988662, 46.52607709750567, 48.1859410430839, 47.70068027210884, 50.90702947845805, 49.74603174603175, 49.36507936507937, 51.09750566893424, 49.4016011334608]","[(7342, 220.79220766288753), (10558, 203.07057732008388), (21457, 37.9039697000627), (31873, 8.172548270980416), (42752, 2.6752189704301497), (51985, 2.2198509880142243), (62370, 0.8386161333251428), (81688, 0.36270516285709836), (91980, 0.8386161333251426), (102365, 2.2198509880142243), (111598, 2.6752189704301492), (122477, 8.172548270980416), (132893, 37.903969700062696), (143792, 203.07057732008388), (147008, 220.79220766288756)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_14.wav,"[60.531235, 81.41008, 86.96408, 88.346954, 87.98137, 87.23215, 85.171234, 84.83322, 65.6613, 59.853878, 51.546238, 50.56873, 57.44993, 67.46905, 69.74477]","[14.381007678931319, 11.17755147805881, 7.8344930318139845, 2.9858417221389355, 3.4596721802483357, 3.7581956882301406, 11.50444681545542, 4.621406920653369, 3.753636453655504, 5.500491335988045, 5.2936752470919775, 7.157032243863103, 3.933213329097877, 7.211445235381169, 9.655988220835017]","[56.72108843537415, 45.50566893424036, 57.83673469387755, 51.6734693877551, 41.859410430839006, 51.13378684807256, 75.3015873015873, 51.69160997732426, 51.560090702947846, 49.20634920634921, 51.487528344671205, 53.487528344671205, 52.13151927437642, 51.47392290249433, 54.0265778529937]","[(120, 553.4922935374009), (17937, 153.75691704736678), (26843, 32.03282618920751), (35247, 10.565518954109633), (44417, 5.885625689796015), (53217, 3.862177433307695), (62779, 1.3046469859168441), (82169, 0.8330983701968425), (91571, 1.3046469859168441), (101133, 3.8621774333076964), (109933, 5.885625689796016), (119103, 10.565518954109633), (127507, 32.03282618920751), (136413, 153.75691704736678), (154230, 553.4922935374009)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/1 Cello/cello_15.wav,"[49.38656, 58.39488, 59.1044, 67.06596, 73.15719, 68.25961, 70.712036, 69.90098, 80.45218, 76.14268, 84.34417, 68.49609, 51.19141, 56.365536, 35.457684]","[4.876437836034267, 6.41300409500088, 5.702881370892837, 3.9073364504258192, 5.5727056601816525, 9.12351775332354, 6.694607283653958, 4.934651450215218, 4.280343542008528, 3.868230634058515, 9.094904253392347, 11.306184083999446, 9.181526029438135, 5.431691312142426, 14.027768298928137]","[42.20861678004535, 44.82993197278912, 49.446712018140595, 54.6485260770975, 54.45351473922903, 50.73922902494331, 44.87074829931973, 51.12925170068027, 46.48526077097506, 43.764172335600904, 50.7936507936508, 23.360544217687078, 50.63492063492063, 47.292517006802726, 51.97978806375553]","[(1949, 1571.9385825821143), (12894, 118.72194657395804), (21499, 17.720636224269665), (38533, 2.8043821175623247), (44094, 1.687335872539183), (60306, 1.1599363605085204), (65838, 0.5600360803720088), (72336, 0.36559073212119003), (88512, 0.5600360803720134), (94044, 1.1599363605085196), (110256, 1.687335872539186), (115817, 2.8043821175623265), (132851, 17.72063622426966), (141456, 118.721946573958), (152401, 1571.9385825821143)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_01.wav,"[48.10768, 61.68189, 65.444565, 58.89495, 66.08931, 64.89595, 57.14402, 58.287193, 55.881775, 62.705845, 61.911144, 59.118412, 59.09906, 58.43369, 64.03112]","[22.125613655445576, 5.261963999059628, 3.690798459241965, 3.4594994420850917, 3.547470651634891, 4.681034114522238, 4.296394845628778, 2.6411773287691176, 4.3013363558289015, 6.455593150375145, 5.430294475185552, 3.755356475899351, 6.8397990189537055, 2.6217385580474954, 4.633114192568298]","[71.4920634920635, 57.002267573696145, 51.2063492063492, 53.56916099773243, 53.0702947845805, 55.50113378684807, 51.89569160997733, 62.02267573696145, 56.517006802721085, 69.51020408163265, 61.10204081632653, 60.9297052154195, 61.76870748299319, 54.3718820861678, 73.42668734049678]","[(1386, 1583.6801453047178), (12324, 315.245112388193), (28861, 133.3444026456759), (30940, 142.3418379672297), (47770, 12.59831946876163), (57713, 6.390727436034077), (69419, 7.106194858188644), (73832, 1.0036081707653437), (84931, 7.106194858188639), (96637, 6.390727436034064), (106580, 12.598319468761616), (123410, 142.34183796722976), (125489, 133.3444026456759), (142026, 315.24511238819304), (152964, 1583.6801453047178)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_02.wav,"[70.150795, 75.14028, 67.561745, 60.635452, 67.82907, 67.215, 68.78073, 64.628426, 56.911144, 61.39203, 58.82946, 59.744186, 60.521202, 62.327854, 72.05114]","[14.723823047351352, 6.1554013441006346, 4.868113552220166, 3.989061423289102, 6.942520849406719, 4.013073714893489, 4.364977255560613, 4.62049313881878, 8.29208544344597, 3.2605059605668343, 4.6025248324786805, 5.778791732016197, 6.397375654030059, 7.448321612346696, 3.248308775004088]","[35.70068027210884, 50.21768707482993, 61.560090702947846, 53.31519274376417, 53.77324263038549, 54.11791383219955, 60.31292517006803, 59.29251700680272, 63.3968253968254, 55.73242630385488, 66.28117913832199, 59.28798185941043, 53.03854875283447, 51.70521541950113, 50.612531049612905]","[(4110, 2495.882362803526), (12330, 426.257382374375), (22604, 135.88226928241536), (30958, 129.42326004030502), (44568, 17.399288200715425), (54234, 15.774474156535199), (69481, 11.47605910176072), (80451, 3.149694165050082), (84869, 11.476059101760706), (100116, 15.7744741565352), (109782, 17.399288200715425), (123392, 129.42326004030502), (131746, 135.88226928241542), (142020, 426.25738237437497), (150240, 2495.8823628035266)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_03.wav,"[65.3385, 57.61901, 69.72142, 64.08396, 70.84838, 58.769894, 62.131954, 70.27429, 68.099075, 59.390823, 57.17428, 63.40539, 67.366066, 67.01457, 76.354866]","[8.991277583828737, 5.50240832602694, 6.1121801646160225, 4.129280765829164, 3.5996505125824894, 5.173426877618546, 6.546416156173845, 5.3368616206127975, 5.673301614643562, 4.762096730216096, 4.6092616749644675, 2.0958595345811255, 2.6258460963921, 17.281719838610158, 5.089081475688588]","[59.20181405895691, 60.775510204081634, 54.59410430839002, 57.25170068027211, 54.961451247165535, 55.043083900226755, 52.68934240362812, 53.106575963718825, 50.888888888888886, 53.759637188208615, 58.22675736961451, 50.19501133786848, 51.4421768707483, 37.69614512471655, 50.27982424861448]","[(1387, 1880.7655567137363), (12319, 213.75876490551218), (20627, 45.28510932432023), (30930, 64.44093220485641), (42342, 13.173855802637322), (52618, 7.14088106995028), (68271, 3.0988105491440776), (80542, 1.064964062367868), (86079, 3.0988105491440683), (101732, 7.1408810699503), (112008, 13.173855802637295), (123420, 64.44093220485641), (133723, 45.28510932432022), (142031, 213.75876490551218), (152963, 1880.765556713736)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_04.wav,"[65.50103, 67.002144, 68.81588, 69.808426, 71.86484, 71.78753, 70.79, 64.019714, 72.448494, 55.200233, 73.00456, 57.88417, 66.13508, 61.213707, 60.396397]","[11.12019970449944, 2.9838754823556104, 4.7551978385031575, 6.831355258778093, 3.491343770153998, 14.308291487395763, 2.816220615170009, 7.305271057633772, 4.954907769292948, 5.300181675037103, 3.402578879363968, 2.209588799936076, 4.15039287209289, 3.900723491096869, 5.498254498732941]","[42.74829931972789, 62.816326530612244, 48.02267573696145, 49.08390022675737, 45.85034013605443, 66.65759637188208, 51.47845804988662, 67.31519274376417, 51.64625850340136, 66.24489795918367, 66.56235827664399, 49.342403628117914, 57.09297052154195, 59.414965986394556, 61.945715304512845]","[(1384, 1807.3860769487474), (12325, 451.9964531916851), (22596, 146.3169721541596), (30947, 176.86305145396253), (44548, 12.483389000693496), (54204, 20.960567554478065), (66100, 8.68701418314861), (73876, 2.3624529090311475), (88250, 8.687014183148614), (100146, 20.960567554478047), (109802, 12.483389000693474), (123403, 176.86305145396253), (131754, 146.31697215415963), (142025, 451.996453191685), (152966, 1807.3860769487474)]"
D:/fullstrack/CSDLDPT/tool_instrument_voice_recognition/src/File âm thanh/2 Dobro/dobro_05.wav,"[67.125725, 72.198784, 68.60073, 74.137024, 71.7914, 59.134277, 67.364426, 68.21807, 74.655815, 69.70847, 64.51455, 66.55094, 64.0806, 66.46441, 67.49313]","[7.421718704579181, 4.201281005156315, 7.454437690986587, 3.062649642483198, 5.365538173576906, 1.4637430517853187, 2.6730647064617923, 5.224575610676159, 2.1163762782678184, 7.106200443758142, 2.7773629403652325, 4.587334469016198, 2.5823182987334716, 2.939616021883142, 3.983014261549605]","[40.44444444444445, 60.98866213151927, 45.868480725623584, 56.82539682539682, 47.51473922902494, 44.72108843537414, 55.673469387755105, 53.3968253968254, 51.47392290249433, 54.10430839002267, 51.038548752834465, 57.718820861678005, 50.29931972789116, 51.99092970521542, 55.20125032372303]","[(4107, 1483.416147400182), (11320, 251.74327185593438), (21777, 158.1034133287914), (32526, 59.859549767061374), (41411, 14.430716937634429), (57280, 19.71031346340511), (69020, 8.100835831957095), (81692, 2.3353638892429727), (85330, 8.100835831957102), (97070, 19.7103134634051), (112939, 14.430716937634438), (121824, 59.859549767061374), (132573, 158.10341332879136), (143030, 251.74327185593444), (150243, 1483.416147400182)]"
